,Date,Open,High,Low,Close,Volume
,"Jul 20, 2022",144,144.22,140.64,141.55,"8,635,300"
,"Jul 21, 2022",140.6,141.36,138.95,140.77,"8,310,202"
,"Jul 22, 2022",140.76,143.17,140.67,143.02,"5,292,834"
,"Jul 25, 2022",142.8,144.42,142.53,143.99,"5,262,135"
,"Jul 26, 2022",142.69,144.49,141.71,144.27,"5,375,711"
,"Jul 27, 2022",143.88,146.21,143.53,145.64,"5,500,030"
,"Jul 28, 2022",146.14,148.61,145.08,148.06,"7,115,675"
,"Jul 29, 2022",141.43,142.5,138.23,138.91,"18,694,718"
,"Aug 1, 2022",138.34,143.94,138.27,142.9,"12,590,027"
,"Aug 2, 2022",143.11,143.72,141.77,141.95,"7,494,999"
,"Aug 3, 2022",141.66,145.27,140.91,144.88,"6,811,247"
,"Aug 4, 2022",144.85,146.46,144.01,144.65,"5,942,441"
